anchor,same_country_affil,diff_country_affil,same_country_cos_sim,diff_country_cos_sim
mathematics and systems science,mathematics and system science,mathematics and systems analysis,0.9930020570755005,0.9347808957099915
graduate sport sciences,graduate sports science,graduate athletics and coaching science,0.969390332698822,0.8791626691818237
toulouse biotechnology institute,paris-seine biology institute,bruyère research institute,0.8237130641937256,0.795343816280365
bachelor of science in criminology,bs criminology,degree in criminology,0.8485106229782104,0.8923491835594177
proppg,ppg,ioppn,0.8895041942596436,0.86008620262146
economics studies,economic studies,socioeconomic studies,0.963193416595459,0.8997365236282349
terry fox laboratory,animal health laboratory,herpetology lab,0.6756288409233093,0.7234963774681091
gazi education,this education,neag education,0.7879320383071899,0.8048208355903625
educative development,educational development,education development,0.9877761602401733,0.9398167729377747
cdtec,dtec,mtec,0.892384946346283,0.8180409073829651
ministry of development,ministry,ministry of economic development,0.809401273727417,0.8875059485435486
cucs,cucsh,cucuta,0.8684910535812378,0.7962354421615601
sustainability education,environmental education,graduate program in environmental education,0.8807001113891602,0.8110529184341431
medical biochemistry and cell biology,medical biochemistry,medical biochemistry and molecular biology,0.9421903491020203,0.9592204093933105
bioepar,biocore,biofak,0.8250874280929565,0.8636789321899414
philosophy and social science,philosophy and social sciences,"philosophy, social sciences and education",0.9905695915222168,0.9338883757591248
"social sciences, economics",social sciences and economics,economy and social sciences,0.9933679699897766,0.9744516611099243
national agricultural health service,national health institute,national center for agricultural health,0.7840371131896973,0.8944622278213501
educaction,seduca,educimat,0.9100342988967896,0.9041822552680969
morbihan,nimh,aibn,0.750546932220459,0.744133472442627
colorado parks and wildlife,parks and recreation,wildlife and ecotourism,0.7367143630981445,0.7108051776885986
marketing and business,"marketing, business",marketing and commerce,0.9924348592758179,0.9618428945541382
health and safety at work,safety and health at work,environmental and occupational health and safety,0.9938852787017822,0.8667247891426086
uninove,un,unt,0.7533036470413208,0.7858051061630249
computation,computational methods,computers and informatics,0.9117119312286377,0.8635073900222778
instituto politécnico de viana do castelo escola superior de saúde,instituto politécnico de viana do castelo escola superior de educaçao,,0.9721922874450684,
interventional neuroradiology,diagnostic and interventional neuroradiology,clinical medicine - neurosurgery,0.9444553256034851,0.8243581056594849
sciences fondamentales,ufr sciences fondamentales et appliquées,sciences de base,0.8731714487075806,0.8047227263450623
intercultural bilingual education,bilingual education,multilingual education,0.9343518018722534,0.9572920203208923
human communication science,human communication sciences,science and communication techniques,0.970842719078064,0.9024041891098022
fiscal policy agency,finance department,fiscal affairs department,0.7162410020828247,0.8355939388275146
academic training,academic education,higher education and training,0.9302228689193726,0.8845463991165161
nondestructive testing,non-destructive testing,korea testing laboratory,0.937287449836731,0.6411105394363403
foreign economic relations,international economic relations,trade and international business,0.9453575611114502,0.9030912518501282
jawaharlal post graduate medical education,jawaharlal post graduate medical education and research,jinnah postgraduate medical center,0.9680103659629822,0.7679774761199951
"synthetic chemistry and biological chemistry, graduate engineering","chemistry and biotechnology, graduate engineering",chemical engineering & applied chemistry,0.9299540519714355,0.8976773023605347
"arts, communication and education",arts & communication,"education, art and communication",0.9293200969696045,0.9807718396186829
regulatory genomics,genome regulation,public health genomics,0.888702392578125,0.8147739768028259
setor palotina,anhanguera pelotas,cesar vallejo piura,0.755634069442749,0.7263506054878235
biomolecular health sciences,biological health sciences,molecular health sciences,0.9319421648979187,0.967217206954956
medical research unit,biomedical research unit,research unit of biomedicine and internal medicine,0.9258486032485962,0.8991726636886597
administration and national security,national security,national security affairs,0.8432141542434692,0.8604682683944702
radiology and medical informatics,medical informatics,radiology and biomedical imaging,0.8804284334182739,0.8963965177536011
lmv,lsm,uvm,0.8911425471305847,0.8625310659408569
international school for advanced studies,international higher advanced studies,school for international studies,0.8415980339050293,0.9001257419586182
medical doctor,doctor in medicine,professional human medicine,0.9559288024902344,0.8730659484863281
clinic for small animals,medical clinic for small animals,small animal clinical sciences,0.9512227773666382,0.8135738372802734
adana sample training and research hospital,haydarpaşa sample training and research hospital,applied medical research center,0.7425545454025269,0.7599582076072693
mechanical engineering and applied electronics technology,mechanical and electronic engineering,mechanical engineering and technology,0.9714354276657104,0.9621148705482483
engineering & construction,engineering and construction,structural and construction engineering,0.9967203736305237,0.9393142461776733
office of public health studies,public health administration,public health office,0.8260120749473572,0.8785189390182495
medical immunology,"immunology, medicine",clinical immunology and transfusion medicine,0.9455915689468384,0.8776744604110718
advice,advisory,counseling guidance,0.909389078617096,0.8307831883430481
chuksanhakgwa,chiuihakgwa,munegeka,0.8898387551307678,0.7702327966690063
planning and management,planning management,"planning, public policy, and management",0.9754352569580078,0.8777536153793335
slavic studies,slavonic studies,"balkan, slavic and oriental studies",0.9688456058502197,0.8034328818321228
equitable education and economies,inclusive education,education and social justice,0.7730513215065002,0.7706036567687988
central microbiology,clinical microbiology,center for microbiology,0.8576515913009644,0.8463139533996582
trade and finance,commerce and finance,finance and trade,0.8818241357803345,0.9748377799987793
sustainable resources,sustainable resource management,sustainable use of natural resources,0.922871470451355,0.9502173662185669
distance studies,distance,transportation studies,0.7405878305435181,0.771035373210907
pancreatic cancer,cancer,cancer and surgery,0.903393566608429,0.8298887014389038
concordia,clacso,cerna,0.7067766189575195,0.7884839177131653
sense organs,sensory organs,sensors,0.9491971135139465,0.7585331201553345
adolescent psychiatry,child & adolescent psychiatry,of child and adolescent psychiatry,0.9302952885627747,0.9106043577194214
division of infection and immunity,division of infection & immunity,division of viral diseases,0.9954578876495361,0.8870430588722229
health biotechnology division,health biotechnology,health sciences division,0.8627734780311584,0.9306268692016602
general and vascular surgery,"general, visceral and vascular surgery","visceral, thoracic and vascular surgery",0.9663827419281006,0.9251842498779297
retraining,training,trainings,0.8862249255180359,0.8817738890647888
ntt japan,nec japan,japanese area studies,0.9582012891769409,0.8312811851501465
mrc centre for neuropsychiatric genetics and genomics,mrc centre for developmental neurobiology,center for molecular neurobiology,0.8992599844932556,0.8322569131851196
inventory and monitoring,inventory and monitoring division,accounting and controlling,0.8873856663703918,0.8098889589309692
microelectronics science and technology,microelectronics science and engineering,microelectronics and computer science,0.9876245260238647,0.9539698958396912
"physics, applied sciences","physics, sciences",physics & applied physics,0.9636918306350708,0.9607510566711426
elementary education,elementary school education,elementary and primary education,0.9896467328071594,0.9606218934059143
uiryuhakgwa,chiuihakgwa,kayachikitsa,0.865998387336731,0.808897078037262
iade superior de marketing e publicidade,gestão de marketing,escola superior de propaganda e marketing - rio de janeiro,0.7358272075653076,0.7546067833900452
clinical medicine & surgery,clinical medicine and surgery,clinical medical and surgical,0.9973835349082947,0.9562944769859314
post harvest management,postharvest management,postharvest,0.9636017680168152,0.8352154493331909
postgraduate program in engineering,postgraduate engineering,graduate school graduate engineering,0.9703367352485657,0.9329648017883301
e&tc,e&c,deetc,0.9020941257476807,0.8654249906539917
defence science and technology laboratory,centre for defence chemistry,defence science and technology group,0.8284071087837219,0.856878936290741
medical coordination,medical direction,medical communication,0.8974506258964539,0.8557298183441162
policy and management,policy management,development policy and management,0.9638330340385437,0.8560301065444946
administration and economics,administration and economic,"economics, management and administration",0.9793832302093506,0.9155038595199585
medicines,medicin,clinical medicine and therapeutics,0.9490663409233093,0.8673111796379089
escola superior de enfermagem da cruz vermelha portuguesa de oliveira de azeméis,escola superior de saúde da cruz vermelha portuguesa,escola superior de ciências da saúde curso de medicina,0.899726390838623,0.8502163290977478
clothing and textiles,clothing & textiles,textile and clothing technology,0.9946695566177368,0.8130979537963867
english and american studies,english & american studies,english and culture studies,0.988920271396637,0.8923805356025696
innovation labs,innovation lab,technology research laboratory,0.9435936212539673,0.8366701602935791
automated electric drive,electric drive,"electric machines, drives and automation",0.879643440246582,0.8653610348701477
cultural heritage studies,heritage studies,historical and heritage studies,0.8965489864349365,0.8940773010253906
norwegian marine research,norwegian water research,marine and coastal research,0.910097062587738,0.7457879781723022
pharmacy practice,pharmacy practise,pharmacy discipline,0.9818498492240906,0.8793950080871582
machine building technology,machine building,machine design,0.9151655435562134,0.8530234694480896
architecture may 5,architecture,architectural,0.849653422832489,0.8490382432937622
drug research,drug discovery research,drug sciences,0.9353123903274536,0.87968510389328
escuela de ingenieria industrial,escuela profesional de ingeniería industrial,escuela superior de ingeniería química e industrias extractivas,0.979641318321228,0.8835431337356567
school integration program,educational program,integrated school,0.7439126968383789,0.907069206237793
human resource and administration,human resources and administration,human resources unit,0.9793699979782104,0.8446202278137207
computer,computer and it,,0.9475106596946716,
pharmacy practice department,pharmacy department,pharmacy administration and clinical pharmacy,0.9411917924880981,0.8929044604301453
"shanghai optics and fine mechanics, chinese academy of sciences",shanghai optics and fine mechanics chinese academy of sciences,,0.9952830672264099,
water resources research institute,water research institute,water science institute,0.9686625003814697,0.9306992292404175
"social sciences, history",social sciences and history,social science and history,0.9942989349365234,0.970097005367279
coppead graduate business,graduate business management,esan graduate business,0.7868061661720276,0.8655376434326172
life science informatics,life science & bioinformatics,life science and bioinformatics,0.9347158670425415,0.9364054799079895
obstetrics/gynecology,obstetrics-gynecology,obstetri and gynecology,0.9959067106246948,0.9707534313201904
spears business,business,asper business,0.8541979789733887,0.863749623298645
network science institute,information networking institute,nanoscience institute,0.8522305488586426,0.8150099515914917
critical care and emergency,emergency and critical care,intensive care and emergencies,0.9853212833404541,0.9428960084915161
clinical psychology and neuropsychology,psychology and neuropsychology,"clinical, neuro and developmental psychology",0.9733996987342834,0.9495610594749451
clinical cardiac electrophysiology,cardiac electrophysiology,electrocardiology,0.9483587741851807,0.9172118902206421
anchash,inaf,ash,0.7164991497993469,0.7799559831619263
continuum mechanics and structural analysis,continuum mechanics and theory of structures,structural mechanics department,0.8775008320808411,0.799852728843689
division of human genetics,division of genetics,division of genetics and cell biology,0.9585208892822266,0.8612127304077148
mathematics,mathematics.,,0.9936718940734863,
sound school,music school,communication and arts school,0.8295674324035645,0.7928005456924438
agriculture and food,agriculture & food,agriculture and nutrition,0.9967936277389526,0.9450079202651978
global health program,international health program,international health policy program,0.9402955770492554,0.9289067387580872
biological and medical imaging,biomedical imaging,anatomy and medical imaging,0.9694145917892456,0.9225492477416992
materials science & technology division,materials science and technology division,division of materials and manufacturing science,0.9974719285964966,0.9171709418296814
physiotherapy and rehabilitation department,physiotherapy department,medical rehabilitation department,0.9435863494873047,0.9031755328178406
advanced materials thrust,advanced materials,advanced material technologies,0.8900052905082703,0.8810851573944092
polish-japanese academy of information technology,"computer science, polish academy of sciences",japanese academy of fine arts,0.7788848876953125,0.7323552966117859
science and communication arts,education and communication sciences,"human sciences, communication and arts",0.8763157725334167,0.9240924119949341
instituto federal do sul de minas,instituto federal do sudeste de minas gerais,,0.9078455567359924,
information science & library management,information science and library management,information & library science,0.9962975978851318,0.9385672807693481
"section of endocrinology, diabetes and metabolism","endocrinology, diabetes, and metabolism","endocrinology, diabetology and metabolism",0.9611176252365112,0.9530432224273682
center for teaching excellence,centre for teaching excellence,centre for excellence in learning and teaching,0.9826574921607971,0.962558388710022
physiological diversity,physiology i,genetic diversity,0.7782077193260193,0.7568181157112122
harbin technology - weihai,harbin technology weihai,hpi in chinese,0.990088701248169,0.7768921256065369
directorate of research and development,"directorate of research, development and innovation",department for research and development,0.9671698808670044,0.8687341213226318
study center of culture and communication,center for cultural studies,center of communication studies and society,0.8964167833328247,0.8976486921310425
engineering and innovation,innovation engineering,"systems innovation, engineering",0.9738118648529053,0.920724093914032
health and human ecology,health and environment,global health and human ecology,0.8826882839202881,0.9229496121406555
information and communication science,communication and information science,information technology and communication sciences,0.9836426973342896,0.9360592365264893
communication and press,communication and publicity,press and public relations,0.9390780925750732,0.8952352404594421
housing and urban research,urban research,housing and urban development studies,0.8349298238754272,0.9232906103134155
hafl,asl,fafich,0.7583290338516235,0.8041774034500122
physiology and biophysics department,physiological sciences department,"physiology, biophysics and neuroscience",0.9547641277313232,0.8570812940597534
escola superior de educação e ciências sociais,escola superior de educação e comunicação,escola superior de ciências sociais,0.921231746673584,0.963654637336731
royal military canada,canadian armed forces,royal navy,0.8791168332099915,0.7195696830749512
city development,urban development,habitat and urban development,0.9347386360168457,0.893255889415741
special surgery,surgery,and specialist surgery,0.9394711256027222,0.9470914602279663
electronics and computer science,electronics & computer science,,0.9971536993980408,
engineering systems,engineering and systems,engineering systems and services,0.9778889417648315,0.922944188117981
dexa,dex,mexico state,0.7197443246841431,0.7004531025886536
geo-ocean,ocean,metocean,0.9294559955596924,0.9220936894416809
computer science & electrical engineering,computer science and electrical engineering,"electronics, electrical engineering and computer science",0.9960222244262695,0.958791971206665
crustal dynamics,structural dynamics,system dynamics,0.7974225282669067,0.7876911163330078
oei,iei,ensai,0.8234853148460388,0.854455828666687
athletic training and clinical nutrition,sports medicine and nutrition,sports nutrition,0.8913834691047668,0.8783859014511108
illawarra health and medical research institute,health research institute,health sciences institute,0.8285138010978699,0.8243396282196045
entrepreneurship studies,entrepreneurial studies,entrepreneurial studies and management,0.980505645275116,0.938109278678894
depth psychology,psychological research,clinical and biological psychology,0.8542375564575195,0.8535220623016357
physical therapy and rehabilitation science,physical therapy & rehabilitation science,rehabilitation sciences and physiotherapy,0.9969172477722168,0.9458068609237671
all india medical sciences bhopal,all india medical sciences bhubaneswar,chakri naruebodindra medical institute,0.9125767350196838,0.7177138924598694
"escuela técnica superior de ingeniería de montes, forestal y del medio natural",escuela técnica superior de ingeniería agronómica y del medio natural,escuela superior de ingeniería química e industrias extractivas,0.9342415928840637,0.8917249441146851
cermes3,m3,c3,0.7925511598587036,0.8143562078475952
bioethics department,bioethics,bacteriology department,0.887786865234375,0.797756016254425
national centre for biological sciences,s n bose national centre for basic sciences,national centre for biomolecular research,0.894105076789856,0.918846845626831
oriental medicine,traditional medicine,eastern medicine,0.8649297952651978,0.8864350318908691
theoretical & applied linguistics,theoretical and applied linguistics,formal and applied linguistics,0.9961205124855042,0.8973063230514526
journalism and democracy,media and journalism,journalism and political science,0.8073021173477173,0.8314120769500732
geogrpahy,geolgy,geomatica,0.858726978302002,0.8095409274101257
fresenius medical care colombia,hospital internacional de colombia,medical sciences mariana grajales coello,0.8317030668258667,0.7606279850006104
marine and coastal systems,ocean systems,marine and environmental systems,0.8877883553504944,0.8652985095977783
physical science & technology,physical science and technology,engineering and physical science,0.9973163604736328,0.9219434857368469
school governance and operations division,school administration and supervision,school governance,0.7803004384040833,0.799805223941803
board of education of state of ceará,secretariat of education of state of ceará,bogotá secretary of education,0.8824441432952881,0.7792966365814209
strategy and international business,strategy & international business,international management and business,0.9964083433151245,0.8596311807632446
physics and earth science,physics and earth sciences,earth physics and astrophysics,0.9931457042694092,0.940854549407959
biologia molecular e celular,biologia celular e molecular,biología molecular y celular,0.9927078485488892,0.953901469707489
jagiellonian library,jagiellonian centre for experimental therapeutics,sam jonah library,0.7291350364685059,0.6866888999938965
clinical science,clinical sciences,clinical and pre-clinical sciences,0.9586442112922668,0.9086233377456665
i-sense group,ai team,ai group,0.6852198839187622,0.7812304496765137
microbiology and microbial biotechnology,microbiology and biotechnology,microbiology/biotechnology,0.9775649309158325,0.9707908630371094
informatics & telecommunications,informatics and telecommunications,communication and information technology,0.9962707757949829,0.9417729377746582
mechanichal engineering,mechanic engineering,mechanics and engineering,0.9809732437133789,0.9752910733222961
pg & research commerce,pg and research commerce,"research economy, trade and industry",0.990730881690979,0.774857759475708
gynecological oncology,gynecologic oncology,clinical medicine - oncology,0.998130202293396,0.8526215553283691
lawyer,litigating lawyer,fac law,0.9218075275421143,0.7426379919052124
biblical languages,biblical studies,biblical and ancient studies,0.8262185454368591,0.7637422680854797
electronics engineering sense,electronics engineering,intelligent mechatronics engineering,0.8723810911178589,0.8650014400482178
automation of technological processes,automation of technological processes and production,automation technology,0.9758145213127136,0.9308066368103027
a sustainable environment,environmental sustainability,environment and sustainable development,0.9545139074325562,0.9237092733383179
biological and veterinary sciences,biology and animal science,biomedical and veterinary sciences,0.911641001701355,0.9770961999893188
leibniz crystal growth,leibniz polymer research,crystal growth centre,0.7358147501945496,0.6949405074119568
financial and management engineering,industrial and management engineering,financial engineering,0.8178451061248779,0.9311964511871338
"inorganic chemistry, crystallography and mineralogy",crystallography and mineralogy,mineralogy and crystallography,0.9062224626541138,0.9362655878067017
road transport management,transportation management,road transport department,0.8655019998550415,0.8857986927032471
infk,inf,infn,0.8467257022857666,0.8746238946914673
chitkara health sciences,kalinga medical sciences,b.p. koirala health sciences,0.8788666725158691,0.8541796207427979
planning commission,planning board,planning office,0.8083833456039429,0.7357069849967957
energy and propulsion,energy and fuel,power and propulsion,0.9330525398254395,0.9326520562171936
health sciences center - ccs,health sciences center ccs,interdisciplinary center for health sciences,0.9906615018844604,0.8483834266662598
singapore-with alliance,singapore-mit alliance for research and technology,malaysia-japan international technology,0.7652415037155151,0.6726046204566956
microbiology and molecular biology,microbiology & molecular biology,"microbial, cellular and molecular biology",0.9961830973625183,0.9540879726409912
management research,management studies and research,teaching management and research,0.9409959316253662,0.8282305002212524
jalisco education secretariat,jalisco school,nariño departmental education secretariat,0.8117217421531677,0.7911117076873779
coastal and marine management,coastal and marine resources management,ocean management,0.9642247557640076,0.8697963356971741
chemistry and physical sciences,chemical and physical sciences,chemistry and sciences,0.9771231412887573,0.9733527898788452
agriculture and food science,agriculture & food science,agrifood sciences,0.9977324604988098,0.9505013227462769
wetland campus,campus aquidauana,wetlands,0.8122105598449707,0.754768431186676
creative arts and industries,arts and creative industries,arts and creative enterprises,0.9776846170425415,0.9509795904159546
machine building technology,machine building,machine design,0.9151655435562134,0.8530234694480896
merc,mechancial,area comercial,0.7699027061462402,0.8274701237678528
metallurgical and mining engineering,mining and metallurgical engineering,mining and metallurgy engineering,0.9839560389518738,0.9877910614013672
town council,city council,population council,0.8152686357498169,0.7703206539154053
molecular medicine and medical biotechnology,molecular medicine and biotechnology,molecular medicine and biopharmaceutical sciences,0.9924474954605103,0.9600432515144348
government of state of paraná,public ministry of state of paraná,cundinamarca government,0.8995348811149597,0.7340692281723022
imt atlantic brittany - pays de la loire,cnrs delegation for brittany and pays de la loire region,esace,0.8296478986740112,0.6753745675086975
fertility center,fertility clinic,centre for fertility and health,0.903270959854126,0.8415488600730896
national psychology,sociology and psychology,international psychology,0.8294265270233154,0.8576104640960693
centre for health policy,centre for public health,centre for health policy and management,0.9158530235290527,0.9627436399459839
classroom education,classroom teaching,school teaching,0.9367696046829224,0.8605197668075562
creative multimedia,creative media,multimedia art,0.9144254326820374,0.8750072121620178
computer sc. & engineering,computer science& engineering,"engineering, computer engineering",0.9514598846435547,0.9443470239639282
automobile transport,automobile,automobile and transportation,0.9414030313491821,0.9679218530654907
english language education department,english education department,"english, education",0.9784225225448608,0.9106649160385132
environment department,environmental department,federal environment agency,0.9784603118896484,0.8279711604118347
production animal medicine,veterinary diagnostic and production animal medicine,veterinary medicine and animal production,0.9179657697677612,0.9249870777130127
child and adolescent mental health services,child and adolescent mental health service,child and adolescent psychiatry and psychotherapy,0.9935582876205444,0.8887127041816711
ccs-7: applied computer science,applied computer science,applied computer sciences,0.8027118444442749,0.8069967031478882
vicerrectoría of connectedness,i vicerrectorado,vicerrectoría research,0.7103561162948608,0.712489128112793
maternal-child nursing department,maternal and child nursing and psychiatric department,maternal health nursing,0.9267373085021973,0.8968931436538696
isi foundation - scientific exchange,basic and applied science,research and knowledge exchange,0.7517498135566711,0.8275792598724365
royal surgeons of edinburgh,royal physicians of edinburgh,royal surgeons in ireland medicine,0.9094300270080566,0.8111878633499146
european space research and technology centre,european space agency,european space astronomy centre,0.8575817942619324,0.9045596122741699
tutoring,tutoring ead,teaching methods,0.9748799204826355,0.8397414684295654
distance learning,education and distance learning,graduate digital learning and education,0.9356589913368225,0.727879524230957
barcelona economics,barcelona graduate economics,católica lisbon business and economics,0.8220744132995605,0.7292270064353943
coreme,coremu,cimne,0.801256537437439,0.7726454734802246
entc,cce,ccent,0.8365128636360168,0.8523786067962646
pg computer science,computer science pg,computer science idi,0.9577797055244446,0.9198580384254456
wbk production science,manufacturing science,research and production,0.785885214805603,0.7933439016342163
"health sciences, physiotherapy and rehabilitation",health sciences physiotherapy and rehabilitation,"health sciences, physiotherapy",0.975448727607727,0.9732539653778076
maya agricultural studies,mezcalapa school agricultural studies,agricultural studies,0.7122347950935364,0.7359722256660461
mimuw,mim,imw,0.843704104423523,0.8800655007362366
propaedeutics of childhood diseases,propaedeutics of children's diseases,pediatrics and pediatric infectious diseases,0.9825930595397949,0.8539841175079346
complementary and integrative medicine,complementary medicine,integrative medicine,0.9455673694610596,0.8893287181854248
polymer science and polymer engineering,polymer science and engineering,polymer material science and engineering,0.9584287405014038,0.9690611958503723
business operations,commercial operations,business and services,0.9027049541473389,0.8656539916992188
sciences and education,education and sciences,sciences education,0.9818354249000549,0.9723397493362427
pharmaceutical health services research,pharmaceutical research,pharmaceutical sciences and drug research,0.9206258058547974,0.9128528833389282
texas instruments,texas instruments inc,embrapa instrumentation,0.921371340751648,0.6898099184036255
"sport, exercise & rehabilitation","sport, exercise and rehabilitation","physical education, sports and rehabilitation",0.9967960119247437,0.9294264316558838
anesthesia technology,anesthesia techniques,anesthesia and surgical icu,0.9196740388870239,0.8550438284873962
economic modelling,mathematical economics,statistical modeling,0.8197996020317078,0.8298497200012207
image and sound,sound and image,visual effects,0.9856904149055481,0.8140347003936768
counseling & special education,counseling and special education,special education and counselling,0.9971210360527039,0.9663204550743103
instituto nacional de educación superior dr. raúl peña,,instituto superior de formación docente salomé ureña,,0.8263360261917114
başakşehir çam and sakura city hospital,istanbul basaksehir pine and sakura city hospital,kurashiki central hospital,0.8358280062675476,0.7330129146575928
bit,ib,dibit,0.7905693650245667,0.7756773233413696
english for engineering,english for engineering №1,engineering in foreign languages,0.8529537916183472,0.8459707498550415
nursing school,nursing of school,,0.9555557370185852,
social sciences and business studies,social sciences and business,social studies and business,0.9581508636474609,0.960708737373352
trunk,cass,carim,0.646090567111969,0.6546080708503723
surveying and geomatics engineering,surveying and geospatial engineering,surveying and geoinformatics engineering,0.9537863731384277,0.9521461129188538
ccu,cmu,uqccr,0.8813185691833496,0.8488156199455261
ecology and global change,global ecology,ecosystems & global change,0.9030758142471313,0.9401782751083374
portuguese sea and atmosphere institute,portuguese sea and atmosphere,peruvian sea institute,0.7943545579910278,0.7839832305908203
stomatologiya,stomatology,stomatological,0.9118494391441345,0.8977274894714355
national public works of state,national state public works,national public administration,0.9780553579330444,0.803717315196991
neuropsychology department,neuropsychiatry department,neuroscience and behavioral sciences department,0.9625109434127808,0.9080976247787476
oceanography and space informatics,space and earth information science,ocean engineering technology and informatics,0.8486927151679993,0.8555933833122253
icteam/ingi,icm,icg,0.7629297971725464,0.7781484723091125
faema,fablab,fahs,0.8485303521156311,0.8341644406318665
endocrinology division,division of endocrinology,endocrine department,0.9767537117004395,0.8785492777824402
accountability,accounting and control,accounting - auditing,0.7487560510635376,0.7175493240356445
drinking water,water supply,wateraid,0.7770359516143799,0.7582347393035889
foreign languages institute,foreign language institute,language studies institute,0.9837521314620972,0.9209168553352356
advice,advisory,counseling guidance,0.909389078617096,0.8307831883430481
surgery №1,surgery #1,1st surgery,0.9547111392021179,0.8819689750671387
public relations,public relations and publicity,,0.9557961225509644,
sport sciences and health,sport science and health,sport and health sciences,0.9808054566383362,0.9880668520927429
theoretical and computational chemistry,theoretical chemistry,theoretical chemistry and biology,0.9639887809753418,0.918329119682312
history and politics,history & politics,political history,0.9957219362258911,0.9607411623001099
ited,itt,ined,0.8311659693717957,0.8688819408416748
foundation for fight against neurological diseases of childhood,child neurology,child health research foundation,0.6881177425384521,0.8295542001724243
international clinical research center,centre for health research,international research center for medical sciences,0.8541008234024048,0.9264909029006958
hydrodynamic systems,mechanics,hydrodynamics,0.8520849347114563,0.90293288230896
wildlife and fisheries science,wildlife and fisheries sciences,"wildlife, fish and environmental studies",0.9892586469650269,0.9271801114082336
computer and engineering,computer engineering,computer engineering and programming,0.9694746732711792,0.9490146636962891
education and human sciences,human sciences and education,"education, social sciences",0.9894947409629822,0.958519697189331
future energy convergence,future convergence engineering,sustainable energy technology,0.8231521844863892,0.8245303630828857
bcp,dcp,bcpst,0.8565505743026733,0.921524167060852
tutoring center,teaching center,education and training center,0.8962150812149048,0.8434402346611023
government of state of amapá,government of state of paraná,boyacá government,0.8763260245323181,0.7829646468162537
integrated health sciences,integrated biomedical sciences,health and care sciences,0.9324870109558105,0.8791829943656921
attorney general of justice,attorney general,public ministry - attorney general&#39;s office,0.8883429765701294,0.7555683851242065
development planning unit,planning unit,planning division,0.9421796798706055,0.8578803539276123
industrial and management engineering,industrial & management engineering,industrial systems engineering and management,0.9975320100784302,0.9484508633613586
css/ngp/ngtoc,css,cssd,0.7349981069564819,0.72966068983078
icade,esade,cesupa,0.6727741956710815,0.6709479093551636
bioisi,fisiologia,bioanalisis,0.779443085193634,0.8486548662185669
health & society,health and society,health and societies,0.9942723512649536,0.968585729598999
fermi national accelerator laboratory,slac national accelerator laboratory,national fusion laboratory,0.8159352540969849,0.8220363855361938
ucin,ucn,ucrd,0.8533082008361816,0.7987661361694336
community and environmental health,public and environmental health,"environmental health, public health",0.9208451509475708,0.9075640439987183
academic communications,professional communication sciences,scholarly communications,0.822960376739502,0.9290590286254883
mayo medical school,mayo clinic graduate biomedical sciences,mayo hospital,0.8242437243461609,0.8541295528411865
modern irish,early irish,irn,0.823625385761261,0.7494511604309082
life course and medical sciences,life and medical sciences,medical sciences and life,0.8947365283966064,0.8751112222671509
center of biotechnogy of borj cédria,,centre of biotechnology,,0.7669694423675537
water and agricultural resource management,land and water management,agricultural water management,0.8926870822906494,0.9556913375854492
huawei technologies china,huawei technologies co ltd,huawei technologies canada,0.9558867812156677,0.8421411514282227
cultural foundations of education,foundations of education,foundations and practices in education,0.8977243304252625,0.9035893678665161
oslo business school,business school,kl business school,0.8015277981758118,0.841943621635437
internal medicine - infectious diseases,internal medicine / infectious diseases,clinical medicine - infectious diseases,0.993647038936615,0.9221508502960205
life of sciences,sciences of life,life and physical sciences,0.9464966058731079,0.9177525043487549
biomedicine course,medicine course,biology education study program,0.9107634425163269,0.8506730794906616
age agroéchologia,agroparistech-engref,agrobiologia,0.7705502510070801,0.8278610110282898
medical practice,practice of medicine,healthcare practice,0.9474146366119385,0.9136154651641846
forest soils and biogeochemistry,forest ecology,forest and soil sciences,0.8745623230934143,0.9197925329208374
infectious department,infectious disease department,infectious diseases and clinical microbiology department,0.9569318294525146,0.8701208829879761
electrical and computer science,electrical and computer sciences,electronics and computer science electrical engineering,0.989422619342804,0.964577317237854
hie,iee,ie,0.9184061884880066,0.9115942716598511
"agronomy, food, natural resources, animals and environment","agronomy, animals, food, natural resources and environment","agrobiology, food and natural resources",0.995364785194397,0.9451718926429749
unaerp,unp,unlp,0.8562154769897461,0.8186314105987549
clean combustion research center,engineering research center,clean energy research center,0.7460842728614807,0.874848484992981
national health mission,global public health,national health,0.815531849861145,0.8955070972442627
himalayan medical sciences,vijayanagar medical sciences,medicine and health sciences.,0.8276760578155518,0.7599520087242126
welfare and sustainable development,development and sustainability,social development and welfare,0.816328763961792,0.8831046223640442
faculty for chemistry and pharmacy,faculty chemistry,biological pharmaceutical chemistry faculty,0.8835926055908203,0.8737784624099731
precision mechanics,precision mechanical engineering,mechanical precision engineering,0.9128918051719666,0.8777923583984375
foundry,foundry institute,foundation for research and technology hellas,0.7889063358306885,0.6090431809425354
licensed,license,licamm,0.9118831753730774,0.8850635290145874
hydrology and water resources management,hydrology and water management,water resources development & management,0.9850971698760986,0.9172449707984924
experimental oncology department,experimental oncology,experimental radiation oncology,0.9132048487663269,0.8470337390899658
nuclear and allied sciences,nuclear sciences and applications,nuclear and chemical sciences,0.9417932629585266,0.9476523995399475
division of infectious disease,division of infectious diseases,division of infectious diseases and tropical medicine,0.9846293926239014,0.8908481597900391
