anchor,same_country_affil,diff_country_affil,same_country_cos_sim,diff_country_cos_sim
philology and european cultures,classical philology and indo-european,philosophy and cultural studies,0.8639621734619141,0.8551758527755737
emergency ward,emergency room,hospital emergency ward,0.922081470489502,0.964372992515564
industrial engineering program,production engineering program,industrial & production engineering,0.8960827589035034,0.8737624883651733
regional and international studies,global and regional studies,regional development and international studies,0.9467624425888062,0.9437869787216187
health and services,health services,health care services,0.9751383066177368,0.9602220058441162
cece,ce,etce,0.9529528617858887,0.9163632392883301
preventive medicine and public health and microbiology,"preventive medicine, public health and microbiology","preventive medicine, public health",0.995187520980835,0.9220273494720459
water treatment plant,wastewater treatment plant,desalination and water treatment,0.9363740086555481,0.8117292523384094
"chemistry, technology and pharmacy",chemistry and pharmacy,chemistry and pharmaceutical technology,0.9206151366233826,0.9408096075057983
bioeconomy,bio-economy,biology and economics,0.9823150634765625,0.85660719871521
upds,upb,ds,0.8741799592971802,0.8584944605827332
agro-technical school,agricultural school,agroindustrial engineering school,0.9072549343109131,0.9144065976142883
chemical and biomolecular engineering department,chemical and biochemical engineering department,chemical engineer department,0.9695675373077393,0.9178552627563477
global health & social medicine,global health and social medicine,community medicine and global health,0.9972607493400574,0.907340407371521
economic analysis department,economics department and analysis,economic analysis unit,0.9548016786575317,0.9184513092041016
organic chemistry and macromolecular chemistry,organic and macromolecular chemistry,molecular inorganic chemistry,0.9898788928985596,0.9608384370803833
secretary of education of antioquia,secretary of education of caldas,secretary of state of maranhão education,0.8721529841423035,0.8392115831375122
science du langage,département des sciences du langage,science and languages,0.8432501554489136,0.8287408351898193
fisheries resources,fisheries and marine resources,fisheries resources management,0.9402285218238831,0.9329695701599121
oculoplasty,plastic surgery,plastic and oral surgery,0.8394613265991211,0.8360687494277954
bioscience & biotechnology,bioscience and biotechnology,biomedical sciences and biotechnology,0.9976624846458435,0.9700489044189453
ecclesiastical philosophy,theology and philosophy,philosophy & religion,0.8731199502944946,0.8428946733474731
national advanced studies,national science education and research,higher national studies,0.7985483407974243,0.9049867391586304
